Shipping Code,Category 1,Category 2,City,Library ID,Zip Code,Territory,Shipping Date,State,Shipping Rating,CO2 Emissions,Energy Usage,Damaged Items,Container Volume,Shipping Cost,Units
38,Stationary,Envelopes,Houston,LL_117415,77041,Central,31/12/2020,Texas,Friendly,1,5,0,48,1,8
39,Shelves and Couches,Book Shelf,Houston,LL_117415,77041,Central,31/12/2020,Texas,Low,1,5,0,64,0,5
40,Shelves and Couches,Desk Chairs,Houston,LL_117415,77041,Central,31/12/2020,Texas,Low,1,398,0,58,2,10
41,Computers and Scanners,Telephones and Intercomms,Houston,LL_117415,77041,Central,31/12/2020,Texas,Friendly,1,5,0,17,17,5
42,Computers and Scanners,Telephones and Intercomms,Naperville,LL_120999,60540,Central,15/09/2022,Illinois,Moderate,1,5,0,38,0,4
43,Stationary,Containers,Los Angeles,LL_101343,90049,West,22/07/2021,California,Terrible,1,5,0,51,1,7
44,Stationary,Containers,Melbourne,LL_139619,32935,South,23/09/2022,Florida,Very Friendly,37,264,0,56,10,44
45,Computers and Scanners,Scanners,Eagan,LL_118255,55122,Central,13/03/2021,Minnesota,Low,1,5,0,49,0,7
46,Stationary,Folders,Eagan,LL_118255,55122,Central,13/03/2021,Minnesota,Moderate,1,340,0,58,0,28
47,Stationary,Containers,Westland,LL_146703,48185,Central,25/10/2019,Michigan,Moderate,1,5,0,49,2,5
48,Computers and Scanners,Scanners,Dover,LL_169194,19901,East,25/06/2021,Delaware,Moderate,1,390,0,50,0,34
49,Computers and Scanners,Telephones and Intercomms,Dover,LL_169194,19901,East,25/06/2021,Delaware,Low,1,111,0,54,1,5
50,Stationary,Folders,New Albany,LL_115742,47150,Central,22/04/2020,Indiana,Very Friendly,2,306,0,73,1,10
51,Stationary,Barcode Labels,New Albany,LL_115742,47150,Central,22/04/2020,Indiana,Moderate,1,5,0,48,1,24
52,Shelves and Couches,Desks and Tables,New Albany,LL_115742,47150,Central,22/04/2020,Indiana,Friendly,1,244,0,42,1,10
53,Shelves and Couches,Desk Chairs,New Albany,LL_115742,47150,Central,22/04/2020,Indiana,Low,1,865,0,44,1,13
54,Stationary,Staples,New York City,LL_105816,10024,East,17/12/2021,New York,Low,1,5,0,55,0,21
55,Computers and Scanners,Telephones and Intercomms,New York City,LL_105816,10024,East,17/12/2021,New York,Very Friendly,1,15,0,72,1,3
56,Stationary,Containers,Troy,LL_111682,12180,East,18/06/2021,New York,Friendly,3,296,0,67,3,8
57,Stationary,Paper,Troy,LL_111682,12180,East,18/06/2021,New York,Moderate,3,591,0,66,0,132
58,Shelves and Couches,Desk Chairs,Troy,LL_111682,12180,East,18/06/2021,New York,Low,1,5,0,60,0,5
59,Stationary,Paper,Troy,LL_111682,12180,East,18/06/2021,New York,Friendly,1,385,0,76,14,5
60,Computers and Scanners,Scanners,Troy,LL_111682,12180,East,18/06/2021,New York,Moderate,1,412,0,62,1,12
61,Stationary,Folders,Troy,LL_111682,12180,East,18/06/2021,New York,Friendly,341,353,0,73,4,1263
62,Stationary,Paper,Troy,LL_111682,12180,East,18/06/2021,New York,Very Friendly,1,869,0,72,2,4
63,Computers and Scanners,Scanners,Los Angeles,LL_135545,90004,West,30/11/2020,California,Very Friendly,4,392,1,81,40,7
64,Stationary,Folders,Los Angeles,LL_135545,90004,West,30/11/2020,California,Moderate,119,198,0,62,0,1042
65,Stationary,Paper,Los Angeles,LL_135545,90004,West,30/11/2020,California,Moderate,26,768,0,67,1,209
66,Shelves and Couches,Desks and Tables,Los Angeles,LL_135545,90004,West,30/11/2020,California,Very Friendly,122,964,1,82,27,127
67,Shelves and Couches,Desk Chairs,Chicago,LL_164175,60610,Central,5/05/2020,Illinois,Friendly,13,679,0,66,1,15
68,Stationary,Paper,Gilbert,LL_106376,85234,West,10/12/2019,Arizona,Terrible,8,717,0,65,0,23
69,Computers and Scanners,Telephones and Intercomms,Gilbert,LL_106376,85234,West,10/12/2019,Arizona,Very Friendly,45,161,2,76,29,47
70,Stationary,Paper,Springfield,LL_119823,22153,South,6/06/2021,Virginia,Friendly,1,317,0,69,0,5
71,Stationary,Folders,New York City,LL_106075,10009,East,23/09/2021,New York,Low,1,5,0,62,0,5
72,Stationary,Paper,Jackson,LL_114440,49201,Central,17/09/2022,Michigan,Terrible,1,5,1,78,17,5
73,Shelves and Couches,Desk Chairs,Memphis,LL_134026,38109,South,2/05/2020,Tennessee,Very Friendly,13,110,1,73,11,23
74,Shelves and Couches,Desks and Tables,Memphis,LL_134026,38109,South,2/05/2020,Tennessee,Friendly,1,5,0,70,2,5
75,Stationary,Containers,Memphis,LL_134026,38109,South,2/05/2020,Tennessee,Friendly,1,397,0,63,3,2
76,Stationary,Folders,Houston,LL_118038,77041,Central,11/12/2022,Texas,Low,1,841,0,62,0,49
77,Shelves and Couches,Desks and Tables,Houston,LL_118038,77041,Central,11/12/2022,Texas,Moderate,1,108,0,62,0,23
78,Stationary,Containers,Houston,LL_118038,77041,Central,11/12/2022,Texas,Moderate,11,67,0,64,0,144
79,Shelves and Couches,Desks and Tables,Houston,LL_147606,77070,Central,1/12/2019,Texas,Moderate,7,872,0,67,4,78
80,Stationary,Pens,Decatur,LL_127208,35601,South,15/06/2021,Alabama,Very Friendly,5,692,2,78,35,4
81,Stationary,Folders,Decatur,LL_127208,35601,South,15/06/2021,Alabama,Friendly,1,327,0,72,1,19
82,Stationary,Paper,San Francisco,LL_139451,94122,West,16/10/2019,California,Moderate,1,149,0,64,0,6
83,Stationary,Containers,San Francisco,LL_139451,94122,West,16/10/2019,California,Very Friendly,19,284,0,71,3,62
84,Stationary,Envelopes,Durham,LL_149734,27707,South,8/09/2020,North Carolina,Low,1,5,0,60,0,5
85,Stationary,Containers,Chicago,LL_119662,60623,Central,16/11/2022,Illinois,Terrible,4,871,0,64,0,5
86,Shelves and Couches,Desk Chairs,Columbia,LL_140088,29203,South,30/05/2022,South Carolina,Low,12,757,0,67,0,25
87,Computers and Scanners,Scanners,Rochester,LL_155558,55901,Central,2/11/2022,Minnesota,Friendly,5,736,0,74,1,78
88,Stationary,Barcode Labels,Rochester,LL_155558,55901,Central,2/11/2022,Minnesota,Friendly,1,763,0,74,1,3
89,Stationary,Containers,Houston,LL_159695,77095,Central,10/04/2021,Texas,Terrible,1,5,0,18,18,5
90,Stationary,Paper,Los Angeles,LL_109806,90036,West,22/09/2021,California,Very Friendly,6,558,1,78,38,8
91,Computers and Scanners,Telephones and Intercomms,Los Angeles,LL_109806,90036,West,22/09/2021,California,Friendly,5,695,0,69,1,10
92,Stationary,Paper,Los Angeles,LL_109806,90036,West,22/09/2021,California,Very Friendly,12,508,1,78,28,10
93,Stationary,Paper,Minneapolis,LL_149587,55407,Central,5/02/2020,Minnesota,Moderate,2,346,0,75,1,4
94,Shelves and Couches,Desks and Tables,Minneapolis,LL_149587,55407,Central,5/02/2020,Minnesota,Friendly,4,688,0,72,5,8
95,Stationary,Folders,Minneapolis,LL_149587,55407,Central,5/02/2020,Minnesota,Friendly,2,790,0,73,12,4
96,Stationary,Folders,Portland,LL_109484,97206,West,12/11/2022,Oregon,Very Friendly,1,137,1,78,12,5
97,Shelves and Couches,Desks and Tables,New York City,LL_161018,10009,East,11/11/2022,New York,Friendly,12,993,0,75,21,10
98,Stationary,Folders,San Francisco,LL_157833,94122,West,20/06/2022,California,Very Friendly,5,634,2,77,32,5
99,Stationary,Pens,Saint Paul,LL_149223,55106,Central,11/09/2021,Minnesota,Very Friendly,2,715,1,71,21,5
101,Computers and Scanners,Scanners,Chicago,LL_158568,60610,Central,2/09/2021,Illinois,Very Friendly,5,233,2,78,36,5
102,Stationary,Folders,Chicago,LL_158568,60610,Central,2/09/2021,Illinois,Very Friendly,37,981,1,79,25,61
103,Stationary,Paper,Rochester,LL_129903,55901,Central,4/12/2021,Minnesota,Very Friendly,83,584,1,78,29,82
104,Computers and Scanners,Scanners,Aurora,LL_156867,80013,West,17/11/2020,Colorado,Friendly,9,86,0,78,27,11
105,Shelves and Couches,Desks and Tables,Aurora,LL_156867,80013,West,17/11/2020,Colorado,Friendly,6,999,0,72,15,10
106,Stationary,Folders,Aurora,LL_156867,80013,West,17/11/2020,Colorado,Very Friendly,1,100,2,80,38,5
107,Computers and Scanners,Scanners,Charlotte,LL_119004,28205,South,28/11/2022,North Carolina,Very Friendly,4,574,1,77,33,4
108,Computers and Scanners,Telephones and Intercomms,Charlotte,LL_119004,28205,South,28/11/2022,North Carolina,Terrible,1,5,0,1,0,5
109,Stationary,Paper,Charlotte,LL_119004,28205,South,28/11/2022,North Carolina,Friendly,45,522,1,80,37,57
110,Computers and Scanners,Scanners,Orland Park,LL_129476,60462,Central,20/10/2020,Illinois,Friendly,1,545,0,68,0,2
111,Shelves and Couches,Desks and Tables,New York City,LL_146780,10035,East,30/12/2022,New York,Very Friendly,1,832,0,71,9,2
113,Stationary,Folders,Urbandale,LL_128867,50322,Central,10/11/2021,Iowa,Very Friendly,1,131,0,73,8,4
114,Stationary,Staples,Columbus,LL_115259,43229,East,27/08/2019,Ohio,Friendly,1,335,1,78,35,5
115,Stationary,Envelopes,Columbus,LL_115259,43229,East,27/08/2019,Ohio,Very Friendly,1,668,0,74,3,2
116,Stationary,Paper,Columbus,LL_115259,43229,East,27/08/2019,Ohio,Friendly,1,676,1,78,14,5
117,Stationary,Envelopes,Columbus,LL_115259,43229,East,27/08/2019,Ohio,Friendly,1,883,0,67,2,4
119,Stationary,Folders,Bristol,LL_136476,37620,South,10/04/2020,Tennessee,Very Friendly,1,5,0,74,0,5
120,Shelves and Couches,Desks and Tables,Wilmington,LL_103730,19805,East,15/06/2021,Delaware,Very Friendly,17,223,2,79,34,16
121,Stationary,Folders,Wilmington,LL_103730,19805,East,15/06/2021,Delaware,Very Friendly,4,92,2,79,36,5
122,Stationary,Containers,Wilmington,LL_103730,19805,East,15/06/2021,Delaware,Very Friendly,30,116,0,74,9,38
123,Stationary,Envelopes,Wilmington,LL_103730,19805,East,15/06/2021,Delaware,Very Friendly,6,673,1,77,33,10
124,Computers and Scanners,Telephones and Intercomms,Wilmington,LL_103730,19805,East,15/06/2021,Delaware,Friendly,9,228,0,72,6,22
125,Shelves and Couches,Desk Chairs,Houston,LL_152030,77041,Central,28/12/2019,Texas,Moderate,156,265,0,66,1,147
127,Stationary,Folders,Phoenix,LL_107272,85023,West,12/11/2022,Arizona,Friendly,1,728,0,73,0,8
128,Stationary,Containers,Phoenix,LL_107272,85023,West,12/11/2022,Arizona,Very Friendly,4,743,0,73,12,5
129,Shelves and Couches,Desk Chairs,Los Angeles,LL_125969,90004,West,10/11/2021,California,Very Friendly,1,413,1,76,31,2
130,Shelves and Couches,Desks and Tables,Los Angeles,LL_125969,90004,West,10/11/2021,California,Very Friendly,29,856,1,80,30,40
131,Computers and Scanners,Telephones and Intercomms,Columbus,LL_164147,43229,East,5/02/2022,Ohio,Very Friendly,5,556,2,80,36,9
132,Stationary,Paper,Columbus,LL_164147,43229,East,5/02/2022,Ohio,Very Friendly,4,5,2,80,33,7
133,Stationary,Staples,Columbus,LL_164147,43229,East,5/02/2022,Ohio,Friendly,22,348,0,70,13,63
134,Stationary,Paper,Roseville,LL_145583,95661,West,19/10/2021,California,Moderate,32,794,0,68,1,49
135,Stationary,Paper,Roseville,LL_145583,95661,West,19/10/2021,California,Very Friendly,54,940,1,78,37,59
136,Stationary,Paper,Roseville,LL_145583,95661,West,19/10/2021,California,Very Friendly,2,865,0,75,16,5
137,Stationary,Staples,Roseville,LL_145583,95661,West,19/10/2021,California,Low,37,983,0,70,1,66
138,Stationary,Folders,Roseville,LL_145583,95661,West,19/10/2021,California,Low,7,937,0,71,0,24
139,Stationary,Additional Supplies,Roseville,LL_145583,95661,West,19/10/2021,California,Very Friendly,6,234,1,79,37,6
140,Shelves and Couches,Desks and Tables,Roseville,LL_145583,95661,West,19/10/2021,California,Moderate,2,864,0,72,4,5
141,Shelves and Couches,Desks and Tables,Philadelphia,LL_110366,19140,East,7/09/2021,Pennsylvania,Moderate,6,805,0,73,13,2
142,Stationary,Paper,San Francisco,LL_106180,94122,West,23/09/2022,California,Moderate,2,907,0,75,12,3
143,Stationary,Envelopes,San Francisco,LL_106180,94122,West,23/09/2022,California,Very Friendly,2,83,0,72,4,2
144,Stationary,Paper,San Francisco,LL_106180,94122,West,23/09/2022,California,Very Friendly,3,876,0,77,10,5
145,Stationary,Pens,Independence,LL_155376,64055,Central,27/12/2022,Missouri,Very Friendly,30,325,0,73,4,20
146,Stationary,Containers,Pasadena,LL_110744,91104,West,12/09/2020,California,Low,5,765,0,74,0,16
147,Shelves and Couches,Desks and Tables,Newark,LL_110072,43055,East,28/10/2019,Ohio,Very Friendly,11,944,1,74,24,3
148,Computers and Scanners,Telephones and Intercomms,Franklin,LL_114489,53132,Central,9/12/2021,Wisconsin,Terrible,1,747,0,61,0,18
149,Computers and Scanners,Telephones and Intercomms,Franklin,LL_114489,53132,Central,9/12/2021,Wisconsin,Terrible,1,5,0,2,2,5
150,Shelves and Couches,Desk Chairs,Franklin,LL_114489,53132,Central,9/12/2021,Wisconsin,Very Friendly,33,110,2,80,23,19
151,Stationary,Folders,Franklin,LL_114489,53132,Central,9/12/2021,Wisconsin,Friendly,1,5,0,68,4,5
152,Stationary,Pens,Scottsdale,LL_158834,85254,West,16/03/2021,Arizona,Terrible,1,5,0,73,9,5
153,Computers and Scanners,Telephones and Intercomms,Scottsdale,LL_158834,85254,West,16/03/2021,Arizona,Terrible,1,5,1,76,9,5
154,Stationary,Paper,San Jose,LL_124919,95123,West,2/06/2020,California,Moderate,1,5,0,65,0,5
155,Stationary,Paper,San Jose,LL_124919,95123,West,2/06/2020,California,Moderate,1,5,0,66,1,5
156,Stationary,Containers,San Jose,LL_124919,95123,West,2/06/2020,California,Low,1,5,0,68,0,5
157,Stationary,Paper,Seattle,LL_118948,98105,West,3/06/2020,Washington,Terrible,1,5,1,75,12,5
158,Shelves and Couches,Desk Chairs,Seattle,LL_104269,98115,West,6/03/2019,Washington,Very Friendly,3,56,2,79,20,4
159,Stationary,Barcode Labels,Edmond,LL_114104,73034,Central,24/11/2021,Oklahoma,Moderate,1,5,0,59,0,5
160,Computers and Scanners,Telephones and Intercomms,Edmond,LL_114104,73034,Central,24/11/2021,Oklahoma,Friendly,1,5,0,70,1,5
161,Stationary,Paper,Los Angeles,LL_162733,90045,West,12/05/2021,California,Friendly,1,5,0,63,0,5
162,Computers and Scanners,Scanners,Philadelphia,LL_119697,19134,East,31/12/2020,Pennsylvania,Friendly,1,5,0,71,0,5
163,Stationary,Envelopes,Carlsbad,LL_154508,88220,West,20/11/2021,New Mexico,Friendly,1,5,0,68,0,5
164,Stationary,Folders,Seattle,LL_113817,98115,West,11/11/2021,Washington,Friendly,1,5,0,74,14,5
165,Stationary,Paper,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Moderate,14,954,0,74,9,37
166,Computers and Scanners,Fax Machines,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Terrible,1,5,1,74,9,5
167,Stationary,Containers,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Friendly,1,5,0,72,6,5
168,Shelves and Couches,Desk Chairs,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Friendly,1,5,0,73,6,5
169,Stationary,Paper,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Moderate,1,5,0,71,4,5
170,Stationary,Pens,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Terrible,1,5,2,78,11,5
171,Computers and Scanners,Telephones and Intercomms,San Antonio,LL_139892,78207,Central,12/09/2019,Texas,Low,1,737,0,63,4,9
172,Stationary,Paper,Los Angeles,LL_118962,90004,West,9/08/2019,California,Moderate,33,442,0,71,7,175
173,Stationary,Paper,Los Angeles,LL_118962,90004,West,9/08/2019,California,Very Friendly,53,450,2,80,14,31
175,Stationary,Pens,Chicago,LL_100853,60623,Central,19/09/2019,Illinois,Very Friendly,6,174,1,77,11,16
176,Stationary,Barcode Labels,Chicago,LL_100853,60623,Central,19/09/2019,Illinois,Very Friendly,6,814,0,71,3,40
177,Stationary,Pens,Houston,LL_152366,77036,Central,25/04/2022,Texas,Moderate,1,874,0,78,3,4
178,Shelves and Couches,Desk Chairs,Newark,LL_101511,43055,East,23/11/2020,Ohio,Terrible,3,859,0,77,0,11
179,Stationary,Additional Supplies,Newark,LL_101511,43055,East,23/11/2020,Ohio,Terrible,1,5,0,1,0,5
180,Stationary,Paper,New York City,LL_137225,10009,East,19/12/2020,New York,Friendly,1,5,0,1,1,5
181,Stationary,Containers,Decatur,LL_166191,62521,Central,9/12/2019,Illinois,Moderate,2,499,0,71,4,9
182,Computers and Scanners,Scanners,Decatur,LL_166191,62521,Central,9/12/2019,Illinois,Moderate,2,815,0,74,2,13
183,Computers and Scanners,Telephones and Intercomms,Monroe,LL_158274,71203,South,24/11/2019,Louisiana,Moderate,1,968,0,70,7,6
184,Computers and Scanners,Telephones and Intercomms,Monroe,LL_158274,71203,South,24/11/2019,Louisiana,Terrible,1,5,1,67,14,5
185,Computers and Scanners,Scanners,Monroe,LL_158274,71203,South,24/11/2019,Louisiana,Moderate,1,5,0,71,2,5
186,Stationary,Folders,Fairfield,LL_105018,6824,East,2/12/2021,Connecticut,Friendly,1,41,0,68,4,11
187,Computers and Scanners,Scanners,Los Angeles,LL_123260,90032,West,30/08/2019,California,Moderate,1,5,0,64,3,5
188,Stationary,Containers,Grand Prairie,LL_157000,75051,Central,22/07/2021,Texas,Low,1,10,0,58,1,9
189,Stationary,Paper,Grand Prairie,LL_157000,75051,Central,22/07/2021,Texas,Moderate,1,990,0,71,2,6
190,Shelves and Couches,Book Shelf,New York City,LL_102281,10035,East,14/10/2020,New York,Friendly,1,829,0,71,7,3
191,Computers and Scanners,Telephones and Intercomms,New York City,LL_102281,10035,East,14/10/2020,New York,Very Friendly,38,384,0,75,7,104
192,Stationary,Paper,New York City,LL_102281,10035,East,14/10/2020,New York,Moderate,1,522,0,70,1,5
193,Shelves and Couches,Book Shelf,New York City,LL_102281,10035,East,14/10/2020,New York,Friendly,1,569,0,76,7,3
194,Stationary,Paper,New York City,LL_102281,10035,East,14/10/2020,New York,Moderate,1,850,0,70,8,5
195,Stationary,Envelopes,Redlands,LL_131457,92374,West,6/11/2020,California,Very Friendly,3,222,0,71,3,26
196,Stationary,Paper,Hamilton,LL_140004,45011,East,25/03/2019,Ohio,Very Friendly,1,5,0,77,18,4
199,Stationary,Folders,Philadelphia,LL_124303,19120,East,13/07/2022,Pennsylvania,Friendly,1,5,0,72,1,5
201,Stationary,Paper,Akron,LL_105074,44312,East,29/06/2022,Ohio,Friendly,1,5,0,71,1,5
202,Shelves and Couches,Counters,Denver,LL_133690,80219,West,5/08/2019,Colorado,Low,1,5,0,68,5,5
203,Stationary,Pens,Denver,LL_133690,80219,West,5/08/2019,Colorado,Friendly,2,854,0,69,7,5
205,Shelves and Couches,Desks and Tables,Franklin,LL_126382,37064,South,7/06/2022,Tennessee,Very Friendly,571,332,2,77,20,282
206,Computers and Scanners,Telephones and Intercomms,Whittier,LL_108329,90604,West,14/12/2022,California,Friendly,1,92,0,75,6,3
207,Stationary,Containers,Saginaw,LL_135860,48601,Central,7/12/2022,Michigan,Low,15,424,0,73,11,24
208,Computers and Scanners,Telephones and Intercomms,Saginaw,LL_135860,48601,Central,7/12/2022,Michigan,Low,8,72,0,70,0,32
209,Stationary,Folders,Saginaw,LL_135860,48601,Central,7/12/2022,Michigan,Low,1,883,0,46,1,14
210,Stationary,Staples,Saginaw,LL_135860,48601,Central,7/12/2022,Michigan,Low,1,109,0,56,1,7
211,Stationary,Containers,Saginaw,LL_135860,48601,Central,7/12/2022,Michigan,Friendly,1,868,0,50,10,2
212,Computers and Scanners,Scanners,Dallas,LL_101007,75220,Central,13/02/2020,Texas,Low,1,5,0,51,1,12
213,Stationary,Barcode Labels,Medina,LL_146262,44256,East,9/01/2020,Ohio,Low,1,5,0,49,1,7
214,Shelves and Couches,Book Shelf,Medina,LL_146262,44256,East,9/01/2020,Ohio,Low,1,384,0,52,2,16
215,Computers and Scanners,Telephones and Intercomms,Medina,LL_146262,44256,East,9/01/2020,Ohio,Low,1,5,0,44,0,4
216,Computers and Scanners,Fax Machines,Medina,LL_146262,44256,East,9/01/2020,Ohio,Low,1,5,0,47,0,9
217,Computers and Scanners,Scanners,Medina,LL_146262,44256,East,9/01/2020,Ohio,Low,1,5,0,59,0,5
218,Stationary,Containers,Los Angeles,LL_130162,90032,West,1/11/2021,California,Low,1,242,0,47,0,48
219,Computers and Scanners,Telephones and Intercomms,Los Angeles,LL_130162,90032,West,1/11/2021,California,Low,1,884,0,53,3,3
220,Stationary,Staples,Dublin,LL_169397,43017,East,27/12/2020,Ohio,Low,1,483,0,47,2,16
221,Stationary,Paper,Dublin,LL_169397,43017,East,27/12/2020,Ohio,Low,1,5,0,58,0,5
222,Stationary,Folders,Dublin,LL_169397,43017,East,27/12/2020,Ohio,Moderate,13,698,0,69,2,67
223,Shelves and Couches,Desks and Tables,Dublin,LL_169397,43017,East,27/12/2020,Ohio,Low,1,5,0,48,2,5
224,Computers and Scanners,Fax Machines,Dublin,LL_169397,43017,East,27/12/2020,Ohio,Low,1,742,0,57,0,4
225,Stationary,Paper,Dublin,LL_169397,43017,East,27/12/2020,Ohio,Moderate,1,171,0,53,0,68
226,Stationary,Paper,Detroit,LL_163055,48227,Central,16/08/2020,Michigan,Low,1,579,0,60,6,5
227,Shelves and Couches,Counters,Detroit,LL_163055,48227,Central,16/08/2020,Michigan,Low,1,5,0,56,2,5
228,Stationary,Containers,Detroit,LL_163055,48227,Central,16/08/2020,Michigan,Friendly,1,45,0,57,1,19
229,Shelves and Couches,Desk Chairs,Columbia,LL_145436,38401,South,4/03/2020,Tennessee,Low,1,5,0,51,1,9
230,Shelves and Couches,Desk Chairs,Columbia,LL_145436,38401,South,4/03/2020,Tennessee,Low,1,5,0,52,0,5
231,Stationary,Folders,Charlotte,LL_156216,28205,South,17/09/2019,North Carolina,Moderate,1,259,0,53,1,32
232,Shelves and Couches,Counters,Tampa,LL_100930,33614,South,12/04/2022,Florida,Moderate,1,5,0,46,2,2
233,Shelves and Couches,Counters,Tampa,LL_100930,33614,South,12/04/2022,Florida,Low,1,5,0,53,0,3
234,Stationary,Folders,Tampa,LL_100930,33614,South,12/04/2022,Florida,Low,5,361,0,73,1,5
235,Shelves and Couches,Desks and Tables,Tampa,LL_100930,33614,South,12/04/2022,Florida,Moderate,1,5,0,59,1,16
236,Computers and Scanners,Scanners,Tampa,LL_100930,33614,South,12/04/2022,Florida,Low,1,5,0,46,1,12
237,Stationary,Paper,Santa Clara,LL_160514,95051,West,16/11/2022,California,Low,1,5,0,50,0,11
238,Stationary,Paper,Chicago,LL_157749,60610,Central,9/06/2021,Illinois,Low,1,5,0,60,2,3
239,Shelves and Couches,Desks and Tables,Chicago,LL_157749,60610,Central,9/06/2021,Illinois,Very Friendly,1,5,0,72,12,5
240,Shelves and Couches,Desks and Tables,Chicago,LL_157749,60610,Central,9/06/2021,Illinois,Friendly,4,894,0,69,8,29
241,Computers and Scanners,Telephones and Intercomms,Chicago,LL_157749,60610,Central,9/06/2021,Illinois,Moderate,1,547,0,48,1,19
